Symbol,CIK
TSCO,916365
TT,1466258
TDG,1260221
TRV,86312
TRMB,864749
TFC,92230
TYL,860731
TSN,100493
USB,36104
UBER,1543151
UDR,74208
ULTA,1403568
UNP,100885
UAL,100517
UPS,1090727
URI,1067701
UNH,731766
UHS,352915
VLO,1035002
VTR,740260
VLTO,1967680
VRSN,1014473
VRSK,1442145
VZ,732712
VRTX,875320
VFC,103379
VTRS,1792044
VICI,1705696
V,1403161
VMC,1396009
WRB,11544
WAB,943452
WBA,1618921
WMT,104169
DIS,1744489
WBD,1437107
WM,823768
WAT,1000697
WEC,783325
WFC,72971
WELL,766704
WST,105770
WDC,106040
WRK,1732845
WY,106535
WHR,106640
WMB,107263
WTW,1140536
GWW,277135
WYNN,1174922
XEL,72903
XYL,1524472
YUM,1041061
ZBRA,877212
ZBH,1136869
ZION,109380
ZTS,1555280
